correct,score,date,matrix,text,name
4,642,2023-07-16,"[[false, true, true], [false, false, true], [false, false, true]]","Immaculate Grid 105 4/9:
Rarity: 642
⬜️🟩🟩
⬜️⬜️🟩
⬜️⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref

Ok my take after playing this five times now… intersections are brutally hard and require decades of knowledge because players don’t move that much!",Keith
6,549,2023-07-16,"[[false, false, true], [true, true, true], [true, false, true]]","Immaculate Grid 105 6/9:
Rarity: 549
⬜️⬜️🟩
🟩🟩🟩
🟩⬜️🟩
",Will
6,492,2023-07-16,"[[false, true, true], [true, true, true], [false, false, true]]","Immaculate Grid 105 6/9:
Rarity: 492
⬜️🟩🟩
🟩🟩🟩
⬜️⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Sam
4,634,2023-07-16,"[[false, true, true], [false, false, true], [false, false, true]]","Immaculate Grid 105 4/9:
Rarity: 634
⬜️🟩🟩
⬜️⬜️🟩
⬜️⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Rachel
3,731,2023-07-17,"[[false, false, true], [false, false, true], [false, true, false]]","Immaculate Grid 106 3/9:
Rarity: 731
⬜️⬜️🟩
⬜️⬜️🟩
⬜️🟩⬜️
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Rachel
8,183,2023-07-17,"[[true, true, true], [true, true, true], [false, true, true]]","Immaculate Grid 106 8/9:
Rarity: 183
🟩🟩🟩
🟩🟩🟩
⬜️🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Cliff
7,457,2023-07-17,"[[false, true, true], [true, true, true], [false, true, true]]","Immaculate Grid 106 7/9:
Rarity: 457
⬜️🟩🟩
🟩🟩🟩
⬜️🟩🟩",Will
5,632,2023-07-17,"[[false, false, true], [true, true, true], [false, true, false]]","Immaculate Grid 106 5/9:
Rarity: 632
⬜️⬜️🟩
🟩🟩🟩
⬜️🟩⬜️
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Sam
8,183,2023-07-17,"[[true, true, true], [true, true, true], [false, true, true]]","My dad today:

Immaculate Grid 106 8/9:
Rarity: 183
🟩🟩🟩
🟩🟩🟩
⬜️🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Keith
5,590,2023-07-18,"[[false, false, true], [false, false, true], [true, true, true]]","Immaculate Grid 107 5/9:
Rarity: 590
⬜️⬜️🟩
⬜️⬜️🟩
🟩🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Sam
6,403,2023-07-18,"[[true, true, true], [false, false, true], [false, true, true]]","Immaculate Grid 107 6/9:
Rarity: 403
🟩🟩🟩
⬜️⬜️🟩
⬜️🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Keith
6,456,2023-07-18,"[[false, true, true], [false, false, true], [true, true, true]]","Immaculate Grid 107 6/9:
Rarity: 456
⬜️🟩🟩
⬜️⬜️🟩
🟩🟩🟩
",Will
3,682,2023-07-18,"[[false, false, true], [false, false, true], [false, false, true]]","Immaculate Grid 107 3/9:
Rarity: 682
⬜️⬜️🟩
⬜️⬜️🟩
⬜️⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Rachel
4,570,2023-07-19,"[[false, false, true], [false, false, true], [true, false, true]]","Immaculate Grid 108 4/9:
Rarity: 570
⬜️⬜️🟩
⬜️⬜️🟩
🟩⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Rachel
5,456,2023-07-19,"[[false, false, true], [false, false, true], [true, true, true]]","Immaculate Grid 108 5/9:
Rarity: 456
⬜️⬜️🟩
⬜️⬜️🟩
🟩🟩🟩
Sadly ruined a correct guess by putting it in the wrong box and it working out ",Will
6,386,2023-07-19,"[[false, true, true], [false, false, true], [true, true, true]]","Immaculate Grid 108 6/9:
Rarity: 386
⬜️🟩🟩
⬜️⬜️🟩
🟩🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Sam
4,559,2023-07-19,"[[false, false, true], [false, false, true], [true, false, true]]","Immaculate Grid 108 4/9:
Rarity: 559
⬜️⬜️🟩
⬜️⬜️🟩
🟩⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Keith
5,631,2023-07-20,"[[false, true, true], [false, false, true], [false, true, true]]","Immaculate Grid 109 5/9:
Rarity: 631
⬜️🟩🟩
⬜️⬜️🟩
⬜️🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Rachel
7,300,2023-07-20,"[[false, true, true], [false, true, true], [true, true, true]]","⚾️ Immaculate Grid 109 7/9:
Rarity: 300
⬜️🟩🟩
⬜️🟩🟩
🟩🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Cliff
5,606,2023-07-20,"[[true, true, false], [false, false, true], [false, true, true]]","Immaculate Grid 109 5/9:
Rarity: 606
🟩🟩⬜️
⬜️⬜️🟩
⬜️🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref

Sloppy game. Easily could’ve gotten more answers had I had a couple more guesses. Getting it right on the first time is so hard",Keith
3,765,2023-07-20,"[[false, false, true], [false, false, true], [false, false, true]]","⚾️ Immaculate Grid 109 3/9:
Rarity: 765
⬜️⬜️🟩
⬜️⬜️🟩
⬜️⬜️🟩
",Will
4,674,2023-07-20,"[[false, false, true], [false, false, true], [true, false, true]]","Immaculate Grid 109 4/9:
Rarity: 674
⬜️⬜️🟩
⬜️⬜️🟩
🟩⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Sam
3,637,2023-07-21,"[[false, true, false], [false, true, true], [false, false, false]]","⚾️ Immaculate Grid 110 3/9:
Rarity: 637
⬜️🟩⬜️
⬜️🟩🟩
⬜️⬜️⬜️
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Keith
3,646,2023-07-21,"[[false, true, false], [true, true, false], [false, false, false]]","⚾️ Immaculate Grid 110 3/9:
Rarity: 646
⬜️🟩⬜️
🟩🟩⬜️
⬜️⬜️⬜️
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Cliff
4,689,2023-07-21,"[[false, true, true], [false, false, true], [false, true, false]]","⚾️ Immaculate Grid 110 4/9:
Rarity: 689
⬜️🟩🟩
⬜️⬜️🟩
⬜️🟩⬜️
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Sam
2,804,2023-07-21,"[[false, true, false], [false, false, false], [false, true, false]]","⚾️ Immaculate Grid 110 2/9:
Rarity: 804
⬜️🟩⬜️
⬜️⬜️⬜️
⬜️🟩⬜️
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Rachel
2,805,2023-07-21,"[[false, true, false], [false, false, false], [false, true, false]]","⚾️ Immaculate Grid 110 2/9:
Rarity: 805
⬜️🟩⬜️
⬜️⬜️⬜️
⬜️🟩⬜️",Will
2,737,2023-07-22,"[[false, false, true], [false, true, false], [false, false, false]]","Proof will is right:

⚾️ Immaculate Grid 111 2/9:
Rarity: 737
⬜️⬜️🟩
⬜️🟩⬜️
⬜️⬜️⬜️
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Keith
3,721,2023-07-22,"[[false, false, true], [false, false, false], [true, false, true]]","⚾️ Immaculate Grid 111 3/9:
Rarity: 721
⬜️⬜️🟩
⬜️⬜️⬜️
🟩⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Rachel
6,556,2023-07-22,"[[false, false, true], [false, true, true], [true, true, true]]","⚾️ Immaculate Grid 111 6/9:
Rarity: 556
⬜️⬜️🟩
⬜️🟩🟩
🟩🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Sam
4,574,2023-07-23,"[[true, false, false], [true, false, false], [true, true, false]]","⚾️ Immaculate Grid 112 4/9:
Rarity: 574
🟩⬜️⬜️
🟩⬜️⬜️
🟩🟩⬜️
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Rachel
5,524,2023-07-23,"[[true, false, false], [true, false, true], [true, true, false]]","⚾️ Immaculate Grid 112 5/9:
Rarity: 524
🟩⬜️⬜️
🟩⬜️🟩
🟩🟩⬜️
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Sam
5,502,2023-07-23,"[[true, false, false], [true, false, true], [true, true, false]]","⚾️ Immaculate Grid 112 5/9:
Rarity: 502
🟩⬜️⬜️
🟩⬜️🟩
🟩🟩⬜️",Will
3,618,2023-07-23,"[[true, false, false], [true, false, false], [true, false, false]]","⚾️ Immaculate Grid 112 3/9:
Rarity: 618
🟩⬜️⬜️
🟩⬜️⬜️
🟩⬜️⬜️
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Keith
6,444,2023-07-24,"[[true, true, true], [false, false, true], [true, false, true]]","⚾️ Immaculate Grid 113 6/9:
Rarity: 444
🟩🟩🟩
⬜️⬜️🟩
🟩⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Keith
4,594,2023-07-24,"[[true, false, true], [false, false, false], [true, false, true]]","⚾️ Immaculate Grid 113 4/9:
Rarity: 594
🟩⬜️🟩
⬜️⬜️⬜️
🟩⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Rachel
5,556,2023-07-24,"[[true, false, true], [false, false, true], [true, false, true]]","⚾️ Immaculate Grid 113 5/9:
Rarity: 556
🟩⬜️🟩
⬜️⬜️🟩
🟩⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Sam
6,423,2023-07-25,"[[true, true, false], [false, false, true], [true, true, true]]","⚾️ Immaculate Grid 114 6/9:
Rarity: 423
🟩🟩⬜️
⬜️⬜️🟩
🟩🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Sam
4,580,2023-07-25,"[[false, false, false], [false, false, true], [true, true, true]]","⚾️ Immaculate Grid 114 4/9:
Rarity: 580
⬜️⬜️⬜️
⬜️⬜️🟩
🟩🟩🟩",Will
4,643,2023-07-25,"[[false, false, false], [true, false, true], [false, true, true]]","⚾️ Immaculate Grid 114 4/9:
Rarity: 643
⬜️⬜️⬜️
🟩⬜️🟩
⬜️🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Keith
3,675,2023-07-25,"[[false, false, false], [false, false, true], [false, true, true]]","⚾️ Immaculate Grid 114 3/9:
Rarity: 675
⬜️⬜️⬜️
⬜️⬜️🟩
⬜️🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Rachel
6,405,2023-07-25,"[[true, false, true], [false, false, true], [true, true, true]]","⚾️ Immaculate Grid 114 6/9:
Rarity: 405
🟩⬜️🟩
⬜️⬜️🟩
🟩🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Cliff
2,709,2023-07-26,"[[false, false, false], [false, false, true], [false, false, true]]","⚾️ Immaculate Grid 115 2/9:
Rarity: 709
⬜️⬜️⬜️
⬜️⬜️🟩
⬜️⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Rachel
6,422,2023-07-26,"[[false, true, true], [true, false, true], [true, false, true]]","⚾️ Immaculate Grid 115 6/9:
Rarity: 422
⬜️🟩🟩
🟩⬜️🟩
🟩⬜️🟩",Will
7,327,2023-07-26,"[[true, false, true], [false, true, true], [true, true, true]]","⚾️ Immaculate Grid 115 7/9:
Rarity: 327
🟩⬜️🟩
⬜️🟩🟩
🟩🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Keith
5,553,2023-07-26,"[[true, false, true], [false, false, true], [true, false, true]]","⚾️ Immaculate Grid 115 5/9:
Rarity: 553
🟩⬜️🟩
⬜️⬜️🟩
🟩⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Sam
4,614,2023-07-27,"[[false, false, true], [false, false, true], [true, false, true]]","⚾️ Immaculate Grid 116 4/9:
Rarity: 614
⬜️⬜️🟩
⬜️⬜️🟩
🟩⬜️🟩",Will
5,465,2023-07-27,"[[true, true, false], [false, false, false], [true, true, true]]","⚾️ Immaculate Grid 116 5/9:
Rarity: 465
🟩🟩⬜️
⬜️⬜️⬜️
🟩🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Cliff
6,461,2023-07-27,"[[false, true, true], [false, false, true], [true, true, true]]","⚾️ Immaculate Grid 116 6/9:
Rarity: 461
⬜️🟩🟩
⬜️⬜️🟩
🟩🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Sam
6,374,2023-07-27,"[[true, true, true], [true, false, false], [true, true, false]]","⚾️ Immaculate Grid 116 6/9:
Rarity: 374
🟩🟩🟩
🟩⬜️⬜️
🟩🟩⬜️
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Keith
3,671,2023-07-27,"[[false, false, true], [true, false, false], [true, false, false]]","⚾️ Immaculate Grid 116 3/9:
Rarity: 671
⬜️⬜️🟩
🟩⬜️⬜️
🟩⬜️⬜️
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Rachel
3,794,2023-07-28,"[[false, false, true], [false, false, true], [false, false, true]]","⚾️ Immaculate Grid 117 3/9:
Rarity: 794
⬜️⬜️🟩
⬜️⬜️🟩
⬜️⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Keith
2,825,2023-07-28,"[[false, false, true], [false, false, true], [false, false, false]]","⚾️ Immaculate Grid 117 2/9:
Rarity: 825
⬜️⬜️🟩
⬜️⬜️🟩
⬜️⬜️⬜️
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Rachel
4,727,2023-07-28,"[[false, false, true], [false, true, true], [false, false, true]]","⚾️ Immaculate Grid 117 4/9:
Rarity: 727
⬜️⬜️🟩
⬜️🟩🟩
⬜️⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Sam
2,825,2023-07-28,"[[false, false, true], [false, false, true], [false, false, false]]","⚾️ Immaculate Grid 117 2/9:
Rarity: 825
⬜️⬜️🟩
⬜️⬜️🟩
⬜️⬜️⬜️",Will
3,635,2023-07-29,"[[false, false, false], [false, false, false], [true, true, true]]","⚾️ Immaculate Grid 118 3/9:
Rarity: 635
⬜️⬜️⬜️
⬜️⬜️⬜️
🟩🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Keith
3,688,2023-07-29,"[[false, false, false], [false, false, false], [true, true, true]]","⚾️ Immaculate Grid 118 3/9:
Rarity: 688
⬜️⬜️⬜️
⬜️⬜️⬜️
🟩🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Rachel
8,242,2023-07-29,"[[true, true, true], [false, true, true], [true, true, true]]","⚾️ Immaculate Grid 118 8/9:
Rarity: 242
🟩🟩🟩
⬜️🟩🟩
🟩🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Cliff
4,614,2023-07-29,"[[true, false, false], [false, false, false], [true, true, true]]","⚾️ Immaculate Grid 118 4/9:
Rarity: 614
🟩⬜️⬜️
⬜️⬜️⬜️
🟩🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Sam
5,450,2023-07-29,"[[true, false, false], [true, false, false], [true, true, true]]","⚾️ Immaculate Grid 118 5/9:
Rarity: 450
🟩⬜️⬜️
🟩⬜️⬜️
🟩🟩🟩",Will
6,514,2023-07-30,"[[true, true, false], [false, true, true], [false, true, true]]","⚾️ Immaculate Grid 119 6/9:
Rarity: 514
🟩🟩⬜️
⬜️🟩🟩
⬜️🟩🟩",Will
5,556,2023-07-30,"[[false, true, false], [true, true, true], [false, false, true]]","⚾️ Immaculate Grid 119 5/9:
Rarity: 556
⬜️🟩⬜️
🟩🟩🟩
⬜️⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Sam
4,645,2023-07-30,"[[false, true, false], [true, false, true], [false, false, true]]","⚾️ Immaculate Grid 119 4/9:
Rarity: 645
⬜️🟩⬜️
🟩⬜️🟩
⬜️⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Rachel
3,730,2023-07-30,"[[false, true, false], [false, false, true], [false, false, true]]","⚾️ Immaculate Grid 119 3/9:
Rarity: 730
⬜️🟩⬜️
⬜️⬜️🟩
⬜️⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Keith
2,753,2023-07-30,"[[false, false, true], [false, false, false], [false, false, true]]","⚾️ Immaculate Grid 119 2/9:
Rarity: 753
⬜️⬜️🟩
⬜️⬜️⬜️
⬜️⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Cliff
5,463,2023-07-31,"[[false, true, true], [false, true, true], [false, false, true]]","⚾️ Immaculate Grid 120 5/9:
Rarity: 463
⬜️🟩🟩
⬜️🟩🟩
⬜️⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Rachel
6,392,2023-07-31,"[[true, true, true], [false, true, true], [false, false, true]]","⚾️ Immaculate Grid 120 6/9:
Rarity: 392
🟩🟩🟩
⬜️🟩🟩
⬜️⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Sam
4,596,2023-07-31,"[[true, true, true], [false, true, false], [false, false, false]]","⚾️ Immaculate Grid 120 4/9:
Rarity: 596
🟩🟩🟩
⬜️🟩⬜️
⬜️⬜️⬜️
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Keith
5,450,2023-07-31,"[[false, true, true], [false, true, true], [false, false, true]]","⚾️ Immaculate Grid 120 5/9:
Rarity: 450
⬜️🟩🟩
⬜️🟩🟩
⬜️⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Cliff
8,286,2023-07-31,"[[true, true, true], [false, true, true], [true, true, true]]","⚾️ Immaculate Grid 120 8/9:
Rarity: 286
🟩🟩🟩
⬜️🟩🟩
🟩🟩🟩
",Will
4,662,2023-08-01,"[[true, false, true], [false, false, true], [false, false, true]]","⚾️ Immaculate Grid 121 4/9:
Rarity: 662
🟩⬜️🟩
⬜️⬜️🟩
⬜️⬜️🟩",Will
2,823,2023-08-01,"[[false, false, false], [false, false, true], [false, false, true]]","⚾️ Immaculate Grid 121 2/9:
Rarity: 823
⬜️⬜️⬜️
⬜️⬜️🟩
⬜️⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Rachel
1,805,2023-08-01,"[[false, false, false], [false, false, false], [true, false, false]]","⚾️ Immaculate Grid 121 1/9:
Rarity: 805
⬜️⬜️⬜️
⬜️⬜️⬜️
🟩⬜️⬜️
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Keith
3,652,2023-08-01,"[[false, true, true], [false, false, true], [false, false, false]]","⚾️ Immaculate Grid 121 3/9:
Rarity: 652
⬜️🟩🟩
⬜️⬜️🟩
⬜️⬜️⬜️
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref.  Agree too hard",Cliff
3,748,2023-08-01,"[[false, false, false], [false, true, true], [false, false, true]]","⚾️ Immaculate Grid 121 3/9:
Rarity: 748
⬜️⬜️⬜️
⬜️🟩🟩
⬜️⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Sam
5,443,2023-08-02,"[[true, true, true], [false, false, true], [false, false, true]]","⚾️ Immaculate Grid 122 5/9:
Rarity: 443
🟩🟩🟩
⬜️⬜️🟩
⬜️⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Cliff
3,633,2023-08-02,"[[false, false, true], [false, false, true], [false, false, true]]","⚾️ Immaculate Grid 122 3/9:
Rarity: 633
⬜️⬜️🟩
⬜️⬜️🟩
⬜️⬜️🟩
Nothing ",Will
3,673,2023-08-02,"[[false, false, true], [false, false, true], [false, false, true]]","⚾️ Immaculate Grid 122 3/9:
Rarity: 673
⬜️⬜️🟩
⬜️⬜️🟩
⬜️⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Rachel
3,670,2023-08-02,"[[false, false, true], [false, false, true], [false, false, true]]","⚾️ Immaculate Grid 122 3/9:
Rarity: 670
⬜️⬜️🟩
⬜️⬜️🟩
⬜️⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Sam
4,557,2023-08-02,"[[false, false, true], [false, false, true], [true, false, true]]","⚾️ Immaculate Grid 122 4/9:
Rarity: 557
⬜️⬜️🟩
⬜️⬜️🟩
🟩⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Keith
8,346,2023-08-03,"[[false, true, true], [true, true, true], [true, true, true]]","⚾️ Immaculate Grid 123 8/9:
Rarity: 346
⬜️🟩🟩
🟩🟩🟩
🟩🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Sam
7,372,2023-08-03,"[[false, false, true], [true, true, true], [true, true, true]]","⚾️ Immaculate Grid 123 7/9:
Rarity: 372
⬜️⬜️🟩
🟩🟩🟩
🟩🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Keith
6,464,2023-08-03,"[[false, true, true], [false, false, true], [true, true, true]]","⚾️ Immaculate Grid 123 6/9:
Rarity: 464
⬜️🟩🟩
⬜️⬜️🟩
🟩🟩🟩",Will
8,163,2023-08-03,"[[true, true, true], [false, true, true], [true, true, true]]","⚾️ Immaculate Grid 123 8/9:
Rarity: 163
🟩🟩🟩
⬜️🟩🟩
🟩🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Cliff
6,453,2023-08-03,"[[false, false, true], [false, true, true], [true, true, true]]","⚾️ Immaculate Grid 123 6/9:
Rarity: 453
⬜️⬜️🟩
⬜️🟩🟩
🟩🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Rachel
8,316,2023-08-04,"[[true, false, true], [true, true, true], [true, true, true]]","⚾️ Immaculate Grid 124 8/9:
Rarity: 316
🟩⬜️🟩
🟩🟩🟩
🟩🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Keith
7,441,2023-08-04,"[[true, false, true], [true, false, true], [true, true, true]]","⚾️ Immaculate Grid 124 7/9:
Rarity: 441
🟩⬜️🟩
🟩⬜️🟩
🟩🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Sam
6,494,2023-08-04,"[[true, true, true], [false, true, true], [false, false, true]]","⚾️ Immaculate Grid 124 6/9:
Rarity: 494
🟩🟩🟩
⬜️🟩🟩
⬜️⬜️🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Rachel
4,521,2023-08-04,"[[false, false, false], [true, false, true], [false, true, true]]","Messed up

⚾️ Immaculate Grid 124 4/9:
Rarity: 521
⬜️⬜️⬜️
🟩⬜️🟩
⬜️🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Cliff
8,218,2023-08-04,"[[true, true, true], [true, true, true], [false, true, true]]","⚾️ Immaculate Grid 124 8/9:
Rarity: 218
🟩🟩🟩
🟩🟩🟩
⬜️🟩🟩",Will
7,291,2023-08-05,"[[true, true, true], [false, false, true], [true, true, true]]","⚾️ Immaculate Grid 125 7/9:
Rarity: 291
🟩🟩🟩
⬜️⬜️🟩
🟩🟩🟩
Play at:
https://immaculategrid.com
@immaculategrid x @baseball_ref",Keith
8,189,2023-08-05,"[[true, true, true], [true, false, true], [true, true, true]]","⚾️ Immaculate Grid 125 8/9:
Rarity: 189
🟩🟩🟩
🟩⬜️🟩
🟩🟩🟩",Will
