grid_id,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9
14,"('Milwaukee Brewers', 'Seattle Mariners')","('Milwaukee Brewers', 'Silver Slugger')","('Milwaukee Brewers', 'All Star')","('Houston Astros', 'Seattle Mariners')","('Houston Astros', 'Silver Slugger')","('Houston Astros', 'All Star')","('Cincinnati Reds', 'Seattle Mariners')","('Cincinnati Reds', 'Silver Slugger')","('Cincinnati Reds', 'All Star')"
15,"('Seattle Mariners', 'Los Angeles Dodgers')","('Seattle Mariners', 'Silver Slugger')","('Seattle Mariners', 'Gold Glove')","('Boston   Red Sox', 'Los Angeles Dodgers')","('Boston   Red Sox', 'Silver Slugger')","('Boston   Red Sox', 'Gold Glove')","('Baltimore Orioles', 'Los Angeles Dodgers')","('Baltimore Orioles', 'Silver Slugger')","('Baltimore Orioles', 'Gold Glove')"
16,"('Cleveland Guardians', 'Philadelphia Phillies')","('Cleveland Guardians', 'Gold Glove')","('Cleveland Guardians', 'Cy Young')","('Detroit Tigers', 'Philadelphia Phillies')","('Detroit Tigers', 'Gold Glove')","('Detroit Tigers', 'Cy Young')","('San Francisco Giants', 'Philadelphia Phillies')","('San Francisco Giants', 'Gold Glove')","('San Francisco Giants', 'Cy Young')"
17,"('Philadelphia Phillies', 'Boston   Red Sox')","('Philadelphia Phillies', 'Silver Slugger')","('Philadelphia Phillies', 'Gold Glove')","('Chicago Cubs', 'Boston   Red Sox')","('Chicago Cubs', 'Silver Slugger')","('Chicago Cubs', 'Gold Glove')","('Chicago  White Sox', 'Boston   Red Sox')","('Chicago  White Sox', 'Silver Slugger')","('Chicago  White Sox', 'Gold Glove')"
18,"('Washington Nationals', 'Tampa Bay Rays')","('Washington Nationals', 'MVP')","('Washington Nationals', 'Rookie of the Year')","('Philadelphia Phillies', 'Tampa Bay Rays')","('Philadelphia Phillies', 'MVP')","('Philadelphia Phillies', 'Rookie of the Year')","('Toronto  Blue Jays', 'Tampa Bay Rays')","('Toronto  Blue Jays', 'MVP')","('Toronto  Blue Jays', 'Rookie of the Year')"
19,"('Los Angeles Dodgers', 'Pittsburgh Pirates')","('Los Angeles Dodgers', 'Cy Young')","('Los Angeles Dodgers', 'Silver Slugger')","('Milwaukee Brewers', 'Pittsburgh Pirates')","('Milwaukee Brewers', 'Cy Young')","('Milwaukee Brewers', 'Silver Slugger')","('Chicago  White Sox', 'Pittsburgh Pirates')","('Chicago  White Sox', 'Cy Young')","('Chicago  White Sox', 'Silver Slugger')"
20,"('St. Louis Cardinals', 'Chicago Cubs')","('St. Louis Cardinals', 'Silver Slugger')","('St. Louis Cardinals', 'Rookie of the Year')","('Tampa Bay Rays', 'Chicago Cubs')","('Tampa Bay Rays', 'Silver Slugger')","('Tampa Bay Rays', 'Rookie of the Year')","('Colorado Rockies', 'Chicago Cubs')","('Colorado Rockies', 'Silver Slugger')","('Colorado Rockies', 'Rookie of the Year')"
21,"('Atlanta Braves', 'Houston Astros')","('Atlanta Braves', 'All Star')","('Atlanta Braves', 'Rookie of the Year')","('Chicago  White Sox', 'Houston Astros')","('Chicago  White Sox', 'All Star')","('Chicago  White Sox', 'Rookie of the Year')","('Los Angeles Angels', 'Houston Astros')","('Los Angeles Angels', 'All Star')","('Los Angeles Angels', 'Rookie of the Year')"
22,"('Tampa Bay Rays', 'Boston   Red Sox')","('Tampa Bay Rays', 'Silver Slugger')","('Tampa Bay Rays', 'All Star')","('Los Angeles Angels', 'Boston   Red Sox')","('Los Angeles Angels', 'Silver Slugger')","('Los Angeles Angels', 'All Star')","('Texas Rangers', 'Boston   Red Sox')","('Texas Rangers', 'Silver Slugger')","('Texas Rangers', 'All Star')"
23,"('Philadelphia Phillies', 'Arizona Diamondbacks')","('Philadelphia Phillies', 'MVP')","('Philadelphia Phillies', 'Rookie of the Year')","('San Diego Padres', 'Arizona Diamondbacks')","('San Diego Padres', 'MVP')","('San Diego Padres', 'Rookie of the Year')","('Atlanta Braves', 'Arizona Diamondbacks')","('Atlanta Braves', 'MVP')","('Atlanta Braves', 'Rookie of the Year')"
24,"('Chicago  White Sox', 'Houston Astros')","('Chicago  White Sox', 'Hall of Fame')","('Chicago  White Sox', 'Gold Glove')","('Philadelphia Phillies', 'Houston Astros')","('Philadelphia Phillies', 'Hall of Fame')","('Philadelphia Phillies', 'Gold Glove')","('Texas Rangers', 'Houston Astros')","('Texas Rangers', 'Hall of Fame')","('Texas Rangers', 'Gold Glove')"
25,"('St. Louis Cardinals', 'Philadelphia Phillies')","('St. Louis Cardinals', 'Silver Slugger')","('St. Louis Cardinals', 'Gold Glove')","('Los Angeles Dodgers', 'Philadelphia Phillies')","('Los Angeles Dodgers', 'Silver Slugger')","('Los Angeles Dodgers', 'Gold Glove')","('Kansas City Royals', 'Philadelphia Phillies')","('Kansas City Royals', 'Silver Slugger')","('Kansas City Royals', 'Gold Glove')"
26,"('St. Louis Cardinals', 'Colorado Rockies')","('St. Louis Cardinals', 'World Series Champ WS Roster')","('St. Louis Cardinals', 'Rookie of the Year')","('Kansas City Royals', 'Colorado Rockies')","('Kansas City Royals', 'World Series Champ WS Roster')","('Kansas City Royals', 'Rookie of the Year')","('Washington Nationals', 'Colorado Rockies')","('Washington Nationals', 'World Series Champ WS Roster')","('Washington Nationals', 'Rookie of the Year')"
27,"('Oakland Athletics', 'Baltimore Orioles')","('Oakland Athletics', 'Hall of Fame')","('Oakland Athletics', 'MVP')","('Los Angeles Dodgers', 'Baltimore Orioles')","('Los Angeles Dodgers', 'Hall of Fame')","('Los Angeles Dodgers', 'MVP')","('Chicago  White Sox', 'Baltimore Orioles')","('Chicago  White Sox', 'Hall of Fame')","('Chicago  White Sox', 'MVP')"
28,"('Pittsburgh Pirates', 'Milwaukee Brewers')","('Pittsburgh Pirates', 'Rookie of the Year')","('Pittsburgh Pirates', 'MVP')","('Colorado Rockies', 'Milwaukee Brewers')","('Colorado Rockies', 'Rookie of the Year')","('Colorado Rockies', 'MVP')","('Detroit Tigers', 'Milwaukee Brewers')","('Detroit Tigers', 'Rookie of the Year')","('Detroit Tigers', 'MVP')"
29,"('New York Yankees', 'Detroit Tigers')","('New York Yankees', 'MVP')","('New York Yankees', 'Rookie of the Year')","('Los Angeles Angels', 'Detroit Tigers')","('Los Angeles Angels', 'MVP')","('Los Angeles Angels', 'Rookie of the Year')","('Oakland Athletics', 'Detroit Tigers')","('Oakland Athletics', 'MVP')","('Oakland Athletics', 'Rookie of the Year')"
30,"('San Diego Padres', 'Miami Marlins')","('San Diego Padres', 'Cy Young')","('San Diego Padres', 'All Star')","('New York Mets', 'Miami Marlins')","('New York Mets', 'Cy Young')","('New York Mets', 'All Star')","('Arizona Diamondbacks', 'Miami Marlins')","('Arizona Diamondbacks', 'Cy Young')","('Arizona Diamondbacks', 'All Star')"
31,"('Kansas City Royals', 'Los Angeles Angels')","('Kansas City Royals', 'All Star')","('Kansas City Royals', 'Silver Slugger')","('Tampa Bay Rays', 'Los Angeles Angels')","('Tampa Bay Rays', 'All Star')","('Tampa Bay Rays', 'Silver Slugger')","('Boston   Red Sox', 'Los Angeles Angels')","('Boston   Red Sox', 'All Star')","('Boston   Red Sox', 'Silver Slugger')"
32,"('Cleveland Guardians', 'Boston   Red Sox')","('Cleveland Guardians', 'Rookie of the Year')","('Cleveland Guardians', 'Silver Slugger')","('Toronto  Blue Jays', 'Boston   Red Sox')","('Toronto  Blue Jays', 'Rookie of the Year')","('Toronto  Blue Jays', 'Silver Slugger')","('Kansas City Royals', 'Boston   Red Sox')","('Kansas City Royals', 'Rookie of the Year')","('Kansas City Royals', 'Silver Slugger')"
33,"('Cleveland Guardians', 'Seattle Mariners')","('Cleveland Guardians', 'All Star')","('Cleveland Guardians', 'Gold Glove')","('Milwaukee Brewers', 'Seattle Mariners')","('Milwaukee Brewers', 'All Star')","('Milwaukee Brewers', 'Gold Glove')","('New York Yankees', 'Seattle Mariners')","('New York Yankees', 'All Star')","('New York Yankees', 'Gold Glove')"
34,"('Washington Nationals', 'Chicago  White Sox')","('Washington Nationals', 'World Series Champ WS Roster')","('Washington Nationals', 'Cy Young')","('Kansas City Royals', 'Chicago  White Sox')","('Kansas City Royals', 'World Series Champ WS Roster')","('Kansas City Royals', 'Cy Young')","('Pittsburgh Pirates', 'Chicago  White Sox')","('Pittsburgh Pirates', 'World Series Champ WS Roster')","('Pittsburgh Pirates', 'Cy Young')"
35,"('Kansas City Royals', 'Washington Nationals')","('Kansas City Royals', 'Cy Young')","('Kansas City Royals', 'Rookie of the Year')","('Cleveland Guardians', 'Washington Nationals')","('Cleveland Guardians', 'Cy Young')","('Cleveland Guardians', 'Rookie of the Year')","('Los Angeles Angels', 'Washington Nationals')","('Los Angeles Angels', 'Cy Young')","('Los Angeles Angels', 'Rookie of the Year')"
36,"('Seattle Mariners', 'Los Angeles Angels')","('Seattle Mariners', 'Cy Young')","('Seattle Mariners', 'Gold Glove')","('Cleveland Guardians', 'Los Angeles Angels')","('Cleveland Guardians', 'Cy Young')","('Cleveland Guardians', 'Gold Glove')","('Arizona Diamondbacks', 'Los Angeles Angels')","('Arizona Diamondbacks', 'Cy Young')","('Arizona Diamondbacks', 'Gold Glove')"
37,"('Atlanta Braves', 'Chicago Cubs')","('Atlanta Braves', 'MVP')","('Atlanta Braves', 'Gold Glove')","('Seattle Mariners', 'Chicago Cubs')","('Seattle Mariners', 'MVP')","('Seattle Mariners', 'Gold Glove')","('Toronto  Blue Jays', 'Chicago Cubs')","('Toronto  Blue Jays', 'MVP')","('Toronto  Blue Jays', 'Gold Glove')"
38,"('New York Yankees', 'Houston Astros')","('New York Yankees', 'MVP')","('New York Yankees', 'Rookie of the Year')","('San Francisco Giants', 'Houston Astros')","('San Francisco Giants', 'MVP')","('San Francisco Giants', 'Rookie of the Year')","('Oakland Athletics', 'Houston Astros')","('Oakland Athletics', 'MVP')","('Oakland Athletics', 'Rookie of the Year')"
39,"('Detroit Tigers', 'Toronto  Blue Jays')","('Detroit Tigers', 'All Star')","('Detroit Tigers', 'Gold Glove')","('Pittsburgh Pirates', 'Toronto  Blue Jays')","('Pittsburgh Pirates', 'All Star')","('Pittsburgh Pirates', 'Gold Glove')","('Chicago Cubs', 'Toronto  Blue Jays')","('Chicago Cubs', 'All Star')","('Chicago Cubs', 'Gold Glove')"
40,"('Houston Astros', 'San Diego Padres')","('Houston Astros', 'Rookie of the Year')","('Houston Astros', 'Silver Slugger')","('Tampa Bay Rays', 'San Diego Padres')","('Tampa Bay Rays', 'Rookie of the Year')","('Tampa Bay Rays', 'Silver Slugger')","('San Francisco Giants', 'San Diego Padres')","('San Francisco Giants', 'Rookie of the Year')","('San Francisco Giants', 'Silver Slugger')"
41,"('Detroit Tigers', 'New York Yankees')","('Detroit Tigers', 'All Star')","('Detroit Tigers', 'Hall of Fame')","('Colorado Rockies', 'New York Yankees')","('Colorado Rockies', 'All Star')","('Colorado Rockies', 'Hall of Fame')","('Cleveland Guardians', 'New York Yankees')","('Cleveland Guardians', 'All Star')","('Cleveland Guardians', 'Hall of Fame')"
42,"('Washington Nationals', 'Tampa Bay Rays')","('Washington Nationals', 'Silver Slugger')","('Washington Nationals', 'Rookie of the Year')","('Houston Astros', 'Tampa Bay Rays')","('Houston Astros', 'Silver Slugger')","('Houston Astros', 'Rookie of the Year')","('Boston   Red Sox', 'Tampa Bay Rays')","('Boston   Red Sox', 'Silver Slugger')","('Boston   Red Sox', 'Rookie of the Year')"
43,"('San Francisco Giants', 'Washington Nationals')","('San Francisco Giants', 'Gold Glove')","('San Francisco Giants', 'MVP')","('Detroit Tigers', 'Washington Nationals')","('Detroit Tigers', 'Gold Glove')","('Detroit Tigers', 'MVP')","('Pittsburgh Pirates', 'Washington Nationals')","('Pittsburgh Pirates', 'Gold Glove')","('Pittsburgh Pirates', 'MVP')"
44,"('St. Louis Cardinals', 'Baltimore Orioles')","('St. Louis Cardinals', 'Gold Glove')","('St. Louis Cardinals', 'Rookie of the Year')","('Pittsburgh Pirates', 'Baltimore Orioles')","('Pittsburgh Pirates', 'Gold Glove')","('Pittsburgh Pirates', 'Rookie of the Year')","('Boston   Red Sox', 'Baltimore Orioles')","('Boston   Red Sox', 'Gold Glove')","('Boston   Red Sox', 'Rookie of the Year')"
45,"('Oakland Athletics', 'Seattle Mariners')","('Oakland Athletics', 'Silver Slugger')","('Oakland Athletics', 'Cy Young')","('Baltimore Orioles', 'Seattle Mariners')","('Baltimore Orioles', 'Silver Slugger')","('Baltimore Orioles', 'Cy Young')","('Houston Astros', 'Seattle Mariners')","('Houston Astros', 'Silver Slugger')","('Houston Astros', 'Cy Young')"
46,"('Milwaukee Brewers', 'San Diego Padres')","('Milwaukee Brewers', 'All Star')","('Milwaukee Brewers', 'MVP')","('Colorado Rockies', 'San Diego Padres')","('Colorado Rockies', 'All Star')","('Colorado Rockies', 'MVP')","('Minnesota Twins', 'San Diego Padres')","('Minnesota Twins', 'All Star')","('Minnesota Twins', 'MVP')"
47,"('Boston   Red Sox', 'Tampa Bay Rays')","('Boston   Red Sox', 'Silver Slugger')","('Boston   Red Sox', 'Hall of Fame')","('New York Yankees', 'Tampa Bay Rays')","('New York Yankees', 'Silver Slugger')","('New York Yankees', 'Hall of Fame')","('Los Angeles Dodgers', 'Tampa Bay Rays')","('Los Angeles Dodgers', 'Silver Slugger')","('Los Angeles Dodgers', 'Hall of Fame')"
48,"('St. Louis Cardinals', 'Houston Astros')","('St. Louis Cardinals', 'All Star')","('St. Louis Cardinals', 'Gold Glove')","('Milwaukee Brewers', 'Houston Astros')","('Milwaukee Brewers', 'All Star')","('Milwaukee Brewers', 'Gold Glove')","('Miami Marlins', 'Houston Astros')","('Miami Marlins', 'All Star')","('Miami Marlins', 'Gold Glove')"
49,"('Chicago  White Sox', 'New York Yankees')","('Chicago  White Sox', 'Hall of Fame')","('Chicago  White Sox', 'Gold Glove')","('Kansas City Royals', 'New York Yankees')","('Kansas City Royals', 'Hall of Fame')","('Kansas City Royals', 'Gold Glove')","('Boston   Red Sox', 'New York Yankees')","('Boston   Red Sox', 'Hall of Fame')","('Boston   Red Sox', 'Gold Glove')"
50,"('San Francisco Giants', 'St. Louis Cardinals')","('San Francisco Giants', 'Silver Slugger')","('San Francisco Giants', 'Cy Young')","('Atlanta Braves', 'St. Louis Cardinals')","('Atlanta Braves', 'Silver Slugger')","('Atlanta Braves', 'Cy Young')","('Cincinnati Reds', 'St. Louis Cardinals')","('Cincinnati Reds', 'Silver Slugger')","('Cincinnati Reds', 'Cy Young')"
51,"('New York Mets', 'Cincinnati Reds')","('New York Mets', 'Silver Slugger')","('New York Mets', 'Cy Young')","('Cleveland Guardians', 'Cincinnati Reds')","('Cleveland Guardians', 'Silver Slugger')","('Cleveland Guardians', 'Cy Young')","('Atlanta Braves', 'Cincinnati Reds')","('Atlanta Braves', 'Silver Slugger')","('Atlanta Braves', 'Cy Young')"
52,"('New York Yankees', 'Oakland Athletics')","('New York Yankees', 'World Series Champ WS Roster')","('New York Yankees', 'Hall of Fame')","('Los Angeles Angels', 'Oakland Athletics')","('Los Angeles Angels', 'World Series Champ WS Roster')","('Los Angeles Angels', 'Hall of Fame')","('Philadelphia Phillies', 'Oakland Athletics')","('Philadelphia Phillies', 'World Series Champ WS Roster')","('Philadelphia Phillies', 'Hall of Fame')"
53,"('Atlanta Braves', 'Houston Astros')","('Atlanta Braves', 'Gold Glove')","('Atlanta Braves', 'World Series Champ WS Roster')","('Arizona Diamondbacks', 'Houston Astros')","('Arizona Diamondbacks', 'Gold Glove')","('Arizona Diamondbacks', 'World Series Champ WS Roster')","('Minnesota Twins', 'Houston Astros')","('Minnesota Twins', 'Gold Glove')","('Minnesota Twins', 'World Series Champ WS Roster')"
54,"('Pittsburgh Pirates', 'Arizona Diamondbacks')","('Pittsburgh Pirates', 'Rookie of the Year')","('Pittsburgh Pirates', 'Cy Young')","('Philadelphia Phillies', 'Arizona Diamondbacks')","('Philadelphia Phillies', 'Rookie of the Year')","('Philadelphia Phillies', 'Cy Young')","('Chicago Cubs', 'Arizona Diamondbacks')","('Chicago Cubs', 'Rookie of the Year')","('Chicago Cubs', 'Cy Young')"
55,"('Baltimore Orioles', 'Los Angeles Dodgers')","('Baltimore Orioles', 'Silver Slugger')","('Baltimore Orioles', 'MVP')","('Detroit Tigers', 'Los Angeles Dodgers')","('Detroit Tigers', 'Silver Slugger')","('Detroit Tigers', 'MVP')","('Miami Marlins', 'Los Angeles Dodgers')","('Miami Marlins', 'Silver Slugger')","('Miami Marlins', 'MVP')"
56,"('Cincinnati Reds', 'San Diego Padres')","('Cincinnati Reds', 'Hall of Fame')","('Cincinnati Reds', 'Gold Glove')","('Kansas City Royals', 'San Diego Padres')","('Kansas City Royals', 'Hall of Fame')","('Kansas City Royals', 'Gold Glove')","('Oakland Athletics', 'San Diego Padres')","('Oakland Athletics', 'Hall of Fame')","('Oakland Athletics', 'Gold Glove')"
57,"('Colorado Rockies', 'Chicago  White Sox')","('Colorado Rockies', 'Rookie of the Year')","('Colorado Rockies', 'Silver Slugger')","('Washington Nationals', 'Chicago  White Sox')","('Washington Nationals', 'Rookie of the Year')","('Washington Nationals', 'Silver Slugger')","('Minnesota Twins', 'Chicago  White Sox')","('Minnesota Twins', 'Rookie of the Year')","('Minnesota Twins', 'Silver Slugger')"
58,"('Los Angeles Angels', 'New York Mets')","('Los Angeles Angels', 'All Star')","('Los Angeles Angels', 'Cy Young')","('Boston   Red Sox', 'New York Mets')","('Boston   Red Sox', 'All Star')","('Boston   Red Sox', 'Cy Young')","('Milwaukee Brewers', 'New York Mets')","('Milwaukee Brewers', 'All Star')","('Milwaukee Brewers', 'Cy Young')"
59,"('Kansas City Royals', 'Detroit Tigers')","('Kansas City Royals', 'Gold Glove')","('Kansas City Royals', 'MVP')","('Los Angeles Dodgers', 'Detroit Tigers')","('Los Angeles Dodgers', 'Gold Glove')","('Los Angeles Dodgers', 'MVP')","('San Francisco Giants', 'Detroit Tigers')","('San Francisco Giants', 'Gold Glove')","('San Francisco Giants', 'MVP')"
60,"('Houston Astros', 'Seattle Mariners')","('Houston Astros', 'All Star')","('Houston Astros', 'Silver Slugger')","('San Diego Padres', 'Seattle Mariners')","('San Diego Padres', 'All Star')","('San Diego Padres', 'Silver Slugger')","('Toronto  Blue Jays', 'Seattle Mariners')","('Toronto  Blue Jays', 'All Star')","('Toronto  Blue Jays', 'Silver Slugger')"
61,"('Chicago Cubs', 'St. Louis Cardinals')","('Chicago Cubs', 'Hall of Fame')","('Chicago Cubs', '40+ HR Season Batting')","('San Francisco Giants', 'St. Louis Cardinals')","('San Francisco Giants', 'Hall of Fame')","('San Francisco Giants', '40+ HR Season Batting')","('Chicago  White Sox', 'St. Louis Cardinals')","('Chicago  White Sox', 'Hall of Fame')","('Chicago  White Sox', '40+ HR Season Batting')"
62,"('Cleveland Guardians', 'Philadelphia Phillies')","('Cleveland Guardians', 'Atlanta Braves')","('Cleveland Guardians', '100+ RBI Season Batting')","('Minnesota Twins', 'Philadelphia Phillies')","('Minnesota Twins', 'Atlanta Braves')","('Minnesota Twins', '100+ RBI Season Batting')","('New York Yankees', 'Philadelphia Phillies')","('New York Yankees', 'Atlanta Braves')","('New York Yankees', '100+ RBI Season Batting')"
63,"('Arizona Diamondbacks', 'Pittsburgh Pirates')","('Arizona Diamondbacks', 'Texas Rangers')","('Arizona Diamondbacks', 'Gold Glove')","('Washington Nationals', 'Pittsburgh Pirates')","('Washington Nationals', 'Texas Rangers')","('Washington Nationals', 'Gold Glove')","('Tampa Bay Rays', 'Pittsburgh Pirates')","('Tampa Bay Rays', 'Texas Rangers')","('Tampa Bay Rays', 'Gold Glove')"
64,"('New York Mets', 'San Francisco Giants')","('New York Mets', 'Toronto  Blue Jays')","('New York Mets', 'World Series Champ WS Roster')","('Miami Marlins', 'San Francisco Giants')","('Miami Marlins', 'Toronto  Blue Jays')","('Miami Marlins', 'World Series Champ WS Roster')","('200+ Hits Season Batting', 'San Francisco Giants')","('200+ Hits Season Batting', 'Toronto  Blue Jays')","('200+ Hits Season Batting', 'World Series Champ WS Roster')"
65,"('Colorado Rockies', 'New York Yankees')","('Colorado Rockies', 'Milwaukee Brewers')","('Colorado Rockies', '.300+ AVG Season Batting')","('Oakland Athletics', 'New York Yankees')","('Oakland Athletics', 'Milwaukee Brewers')","('Oakland Athletics', '.300+ AVG Season Batting')","('St. Louis Cardinals', 'New York Yankees')","('St. Louis Cardinals', 'Milwaukee Brewers')","('St. Louis Cardinals', '.300+ AVG Season Batting')"
66,"('Kansas City Royals', 'San Diego Padres')","('Kansas City Royals', 'Tampa Bay Rays')","('Kansas City Royals', '40+ HR Season Batting')","('Philadelphia Phillies', 'San Diego Padres')","('Philadelphia Phillies', 'Tampa Bay Rays')","('Philadelphia Phillies', '40+ HR Season Batting')","('200+ K Season Pitching', 'San Diego Padres')","('200+ K Season Pitching', 'Tampa Bay Rays')","('200+ K Season Pitching', '40+ HR Season Batting')"
67,"('Baltimore Orioles', 'Arizona Diamondbacks')","('Baltimore Orioles', 'Boston   Red Sox')","('Baltimore Orioles', '30+ SB Season')","('Detroit Tigers', 'Arizona Diamondbacks')","('Detroit Tigers', 'Boston   Red Sox')","('Detroit Tigers', '30+ SB Season')","('Miami Marlins', 'Arizona Diamondbacks')","('Miami Marlins', 'Boston   Red Sox')","('Miami Marlins', '30+ SB Season')"
68,"('Kansas City Royals', 'Houston Astros')","('Kansas City Royals', 'Washington Nationals')","('Kansas City Royals', '40+ Save Season Pitching')","('Texas Rangers', 'Houston Astros')","('Texas Rangers', 'Washington Nationals')","('Texas Rangers', '40+ Save Season Pitching')","('20+ Win Season Pitching', 'Houston Astros')","('20+ Win Season Pitching', 'Washington Nationals')","('20+ Win Season Pitching', '40+ Save Season Pitching')"
69,"('Los Angeles Angels', 'Texas Rangers')","('Los Angeles Angels', 'Philadelphia Phillies')","('Los Angeles Angels', '100+ RBI Season Batting')","('Atlanta Braves', 'Texas Rangers')","('Atlanta Braves', 'Philadelphia Phillies')","('Atlanta Braves', '100+ RBI Season Batting')","('Milwaukee Brewers', 'Texas Rangers')","('Milwaukee Brewers', 'Philadelphia Phillies')","('Milwaukee Brewers', '100+ RBI Season Batting')"
70,"('Chicago Cubs', 'Colorado Rockies')","('Chicago Cubs', 'Miami Marlins')","('Chicago Cubs', 'Rookie of the Year')","('San Francisco Giants', 'Colorado Rockies')","('San Francisco Giants', 'Miami Marlins')","('San Francisco Giants', 'Rookie of the Year')","('200+ Hits Season Batting', 'Colorado Rockies')","('200+ Hits Season Batting', 'Miami Marlins')","('200+ Hits Season Batting', 'Rookie of the Year')"
